,,,, ELECTRIC POWER GENERATION ,,,,,,,," TRANSMISSION, DISTRIBUTION, & STORAGE ",,,,, FUELS ,,,,,,, ENERGY EFFICIENCY ,,,,,, MOTOR VEHICLES 
State,County FIPS,County Name,, Solar , Wind , Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other ,, Traditional TDS , Storage , Smart Grid , Micro Grid ,, Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other ,, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other ,, MV 
AK,2013,Aleutians East Borough County,,< 10,0,0,0,0,< 10,0,,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,0,0,< 10,,< 10,0,< 10,< 10,< 10,,< 10
AK,2016,Aleutians West Census Area County,,< 10,< 10,< 10,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,0,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2020,Anchorage Borough County,,45,26,174,16,27,91,79,,"1,713",139,11,764,,< 10,"2,368","1,534",< 10,0,29,,204,332,"1,033",849,77,,"2,284"
AK,2050,Bethel Census Area County,,< 10,< 10,< 10,< 10,< 10,68,< 10,,58,< 10,< 10,< 10,,< 10,< 10,< 10,0,0,< 10,,< 10,< 10,12,< 10,< 10,,< 10
AK,2060,Bristol Bay Borough County,,< 10,0,< 10,< 10,< 10,15,< 10,,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,0,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2068,Denali Borough County,,< 10,< 10,< 10,< 10,35,43,< 10,,< 10,< 10,< 10,< 10,,90,< 10,< 10,0,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2070,Dillingham Census Area County,,< 10,< 10,23,< 10,< 10,0,< 10,,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,0,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2090,Fairbanks North Star Borough County,,19,< 10,24,< 10,43,73,35,,"1,125",23,< 10,358,,12,191,23,< 10,0,< 10,,60,77,243,194,18,,440
AK,2100,Haines Borough County,,< 10,< 10,< 10,< 10,< 10,0,< 10,,< 10,< 10,< 10,32,,< 10,< 10,< 10,0,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2105,Hoonah-Angoon Census Area County,,< 10,0,0,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,< 10,,< 10,< 10,< 10,< 10,0,< 10,,< 10,< 10,< 10,< 10,< 10,,< 10
AK,2110,Juneau Borough County,,< 10,< 10,81,< 10,< 10,< 10,< 10,,28,< 10,< 10,83,,< 10,22,< 10,< 10,0,< 10,,16,27,80,63,< 10,,101
AK,2122,Kenai Peninsula Borough County,,< 10,< 10,< 10,14,< 10,< 10,< 10,,342,< 10,< 10,58,,26,701,397,< 10,0,< 10,,18,28,90,68,< 10,,167
