State,State.1,CountyFIPS,CountyName,Solar,Wind,Hydroelectric,Low-ImpactHydroelectric,NaturalGasElectricPower,CoalElectricPower,Oil&OtherFF,OtherElectricPower,TraditionalTDS,Storage,SmartGrid,MicroGrid,OtherGridMod,CoalFuels,Petroleum,NaturalGasFuels,WoodyBiomass,CornEthanol,OtherCleanFuels,OtherFuels,ENERGYSTAR&EfficientLighting,TraditionalHVAC,HighEfficiencyHVAC&RenewableH&C,AdvancedMaterials&Insulation,OtherEnergyEfficiency,MV,EPG,TDS,Fuels,EE,NAME,county_pop,state,county,Solar_prop,Wind_prop,Hydroelectric_prop,Low-ImpactHydroelectric_prop,NaturalGasElectricPower_prop,CoalElectricPower_prop,Oil&OtherFF_prop,OtherElectricPower_prop,TraditionalTDS_prop,Storage_prop,SmartGrid_prop,MicroGrid_prop,OtherGridMod_prop,CoalFuels_prop,Petroleum_prop,NaturalGasFuels_prop,WoodyBiomass_prop,CornEthanol_prop,OtherCleanFuels_prop,OtherFuels_prop,ENERGYSTAR&EfficientLighting_prop,TraditionalHVAC_prop,HighEfficiencyHVAC&RenewableH&C_prop,AdvancedMaterials&Insulation_prop,OtherEnergyEfficiency_prop,MV_prop,EPG_prop,TDS_prop,Fuels_prop,EE_prop,clean_jobs_total,dirty_jobs_total
AL,Alabama,01001,AutaugaCounty,2.0,6.0,2.0,4.0,44.0,4.0,5.0,6.0,77.0,5.0,3.0,3.0,8.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,5.0,18.0,11.0,60.0,9.0,564.0,44.0,77.0,,89.0,"Autauga County, Alabama",58239.0,01,001,3.434124899122581e-05,0.00010302374697367743,3.434124899122581e-05,6.868249798245163e-05,0.0007555074778069678,6.868249798245163e-05,8.585312247806452e-05,0.00010302374697367743,0.0013221380861621937,8.585312247806452e-05,5.1511873486838715e-05,5.1511873486838715e-05,0.00013736499596490325,8.585312247806452e-05,6.868249798245163e-05,8.585312247806452e-05,5.1511873486838715e-05,3.434124899122581e-05,3.434124899122581e-05,8.585312247806452e-05,8.585312247806452e-05,0.0003090712409210323,0.00018887686945174195,0.0010302374697367743,0.00015453562046051616,0.009684232215525678,0.0007555074778069678,0.0013221380861621937,,0.0015281855801095486,120.0,952.0
AL,Alabama,01003,BaldwinCounty,32.0,36.0,5.0,1.0,13.0,16.0,6.0,5.0,804.0,16.0,4.0,16.0,8.0,1.0,73.0,8.0,4.0,14.0,21.0,18.0,75.0,158.0,98.0,493.0,80.0,638.0,97.0,836.0,126.0,904.0,"Baldwin County, Alabama",227131.0,01,003,0.00014088785766804178,0.00015849883987654703,2.201372776063153e-05,4.402745552126306e-06,5.7235692177641975e-05,7.044392883402089e-05,2.6416473312757835e-05,2.201372776063153e-05,0.00353980742390955,7.044392883402089e-05,1.7610982208505222e-05,7.044392883402089e-05,3.5221964417010445e-05,4.402745552126306e-06,0.00032140042530522036,3.5221964417010445e-05,1.7610982208505222e-05,6.163843772976828e-05,9.245765659465243e-05,7.924941993827351e-05,0.00033020591640947297,0.0006956337972359564,0.000431469064108378,0.002170553557198269,0.0003522196441701045,0.0028089516622565834,0.00042706631855625167,0.003680695281577592,0.0005547459395679145,0.003980081979122181,885.0,3721.0
AL,Alabama,01005,BarbourCounty,5.0,3.0,6.0,1.0,7.0,5.0,6.0,3.0,106.0,8.0,9.0,3.0,4.0,4.0,29.0,4.0,28.0,8.0,4.0,9.0,2.0,1.0,9.0,19.0,7.0,78.0,,106.0,57.0,19.0,"Barbour County, Alabama",25259.0,01,005,0.00019794924581337345,0.00011876954748802407,0.00023753909497604815,3.958984916267469e-05,0.00027712894413872284,0.00019794924581337345,0.00023753909497604815,0.00011876954748802407,0.0041965240112435175,0.0003167187933013975,0.00035630864246407224,0.00011876954748802407,0.00015835939665069876,0.00015835939665069876,0.001148105625717566,0.00015835939665069876,0.0011085157765548914,0.0003167187933013975,0.00015835939665069876,0.00035630864246407224,7.917969832534938e-05,3.958984916267469e-05,0.00035630864246407224,0.0007522071340908191,0.00027712894413872284,0.003088008234688626,,0.0041965240112435175,0.0022566214022724574,0.0007522071340908191,80.0,470.0
AL,Alabama,01007,BibbCounty,9.0,7.0,2.0,7.0,5.0,8.0,1.0,2.0,28.0,24.0,13.0,3.0,7.0,9.0,1.0,2.0,22.0,3.0,7.0,5.0,6.0,4.0,3.0,14.0,4.0,321.0,,65.0,22.0,14.0,"Bibb County, Alabama",22412.0,01,007,0.00040157058718543636,0.0003123326789220061,8.92379082634303e-05,0.0003123326789220061,0.00022309477065857576,0.0003569516330537212,4.461895413171515e-05,8.92379082634303e-05,0.0012493307156880244,0.0010708548991611637,0.000580046403712297,0.00013385686239514546,0.0003123326789220061,0.00040157058718543636,4.461895413171515e-05,8.92379082634303e-05,0.0009816169908977333,0.00013385686239514546,0.0003123326789220061,0.00022309477065857576,0.0002677137247902909,0.0001784758165268606,0.00013385686239514546,0.0006246653578440122,0.0001784758165268606,0.014322684276280563,,0.002900232018561485,0.0009816169908977333,0.0006246653578440122,106.0,512.0
AL,Alabama,01009,BlountCounty,9.0,2.0,2.0,1.0,7.0,9.0,5.0,8.0,36.0,2.0,4.0,5.0,7.0,5.0,2.0,7.0,7.0,8.0,1.0,9.0,6.0,25.0,16.0,69.0,11.0,204.0,,36.0,,121.0,"Blount County, Alabama",58884.0,01,009,0.00015284287752190747,3.396508389375722e-05,3.396508389375722e-05,1.698254194687861e-05,0.00011887779362815027,0.00015284287752190747,8.491270973439304e-05,0.00013586033557502888,0.0006113715100876299,3.396508389375722e-05,6.793016778751444e-05,8.491270973439304e-05,0.00011887779362815027,8.491270973439304e-05,3.396508389375722e-05,0.00011887779362815027,0.00011887779362815027,0.00013586033557502888,1.698254194687861e-05,0.00015284287752190747,0.00010189525168127165,0.0004245635486719652,0.00027172067115005776,0.001171795394334624,0.0001868079614156647,0.0034644385571632364,,0.0006113715100876299,,0.0020548875755723116,135.0,489.0
AL,Alabama,01011,BullockCounty,7.0,7.0,6.0,5.0,1.0,7.0,3.0,4.0,51.0,2.0,3.0,4.0,8.0,9.0,3.0,2.0,12.0,8.0,4.0,5.0,8.0,9.0,9.0,5.0,8.0,7.0,,51.0,12.0,,"Bullock County, Alabama",10386.0,01,011,0.0006739842095128057,0.0006739842095128057,0.0005777007510109763,0.00048141729250914694,9.628345850182938e-05,0.0006739842095128057,0.00028885037550548814,0.00038513383400731754,0.004910456383593298,0.00019256691700365877,0.00028885037550548814,0.00038513383400731754,0.0007702676680146351,0.0008665511265164644,0.00028885037550548814,0.00019256691700365877,0.0011554015020219526,0.0007702676680146351,0.00038513383400731754,0.00048141729250914694,0.0007702676680146351,0.0008665511265164644,0.0008665511265164644,0.00048141729250914694,0.0007702676680146351,0.0006739842095128057,,0.004910456383593298,0.0011554015020219526,,76.0,184.0
AL,Alabama,01013,ButlerCounty,7.0,5.0,3.0,4.0,7.0,1.0,7.0,7.0,121.0,5.0,5.0,4.0,5.0,2.0,13.0,1.0,34.0,3.0,8.0,9.0,2.0,3.0,8.0,14.0,8.0,441.0,,121.0,47.0,14.0,"Butler County, Alabama",19181.0,01,013,0.0003649444763046765,0.0002606746259319118,0.00015640477555914708,0.00020853970074552944,0.0003649444763046765,5.213492518638236e-05,0.0003649444763046765,0.0003649444763046765,0.006308325947552265,0.0002606746259319118,0.0002606746259319118,0.00020853970074552944,0.0002606746259319118,0.00010426985037276472,0.0006777540274229706,5.213492518638236e-05,0.0017725874563370003,0.00015640477555914708,0.0004170794014910589,0.0004692143266774412,0.00010426985037276472,0.00015640477555914708,0.0004170794014910589,0.000729888952609353,0.0004170794014910589,0.02299150200719462,,0.006308325947552265,0.002450341483759971,0.000729888952609353,78.0,831.0
AL,Alabama,01015,CalhounCounty,15.0,18.0,29.0,8.0,36.0,7.0,5.0,1.0,348.0,9.0,1.0,9.0,3.0,1.0,20.0,1.0,11.0,4.0,17.0,15.0,23.0,69.0,40.0,176.0,32.0,1778.0,98.0,348.0,63.0,340.0,"Calhoun County, Alabama",116425.0,01,015,0.00012883830792355595,0.0001546059695082671,0.0002490873953188748,6.87137642258965e-05,0.0003092119390165342,6.012454369765944e-05,4.294610264118531e-05,8.589220528237063e-06,0.0029890487438264976,7.730298475413356e-05,8.589220528237063e-06,7.730298475413356e-05,2.5767661584711188e-05,8.589220528237063e-06,0.00017178441056474124,8.589220528237063e-06,9.448142581060769e-05,3.435688211294825e-05,0.00014601674898003007,0.00012883830792355595,0.00019755207214945244,0.0005926562164483573,0.0003435688211294825,0.001511702812969723,0.000274855056903586,0.015271634099205497,0.0008417436117672321,0.0029890487438264976,0.000541120893278935,0.0029203349796006013,380.0,3145.0
AL,Alabama,01017,ChambersCounty,5.0,2.0,1.0,2.0,5.0,9.0,,6.0,57.0,7.0,4.0,5.0,3.0,9.0,1.0,8.0,42.0,9.0,3.0,6.0,7.0,14.0,4.0,57.0,2.0,733.0,,57.0,42.0,71.0,"Chambers County, Alabama",34834.0,01,017,0.0001435379227191824,5.7415169087672966e-05,2.8707584543836483e-05,5.7415169087672966e-05,0.0001435379227191824,0.00025836826089452834,,0.00017224550726301888,0.0016363323189986794,0.00020095309180685538,0.00011483033817534593,0.0001435379227191824,8.612275363150944e-05,0.00025836826089452834,2.8707584543836483e-05,0.00022966067635069186,0.0012057185508411322,0.00025836826089452834,8.612275363150944e-05,0.00017224550726301888,0.00020095309180685538,0.00040190618361371077,0.00011483033817534593,0.0016363323189986794,5.7415169087672966e-05,0.021042659470632143,,0.0016363323189986794,0.0012057185508411322,0.00203823850261239,102.0,1069.0
AL,Alabama,01019,CherokeeCounty,1.0,7.0,27.0,2.0,27.0,7.0,9.0,7.0,46.0,5.0,7.0,3.0,6.0,3.0,7.0,8.0,3.0,6.0,3.0,3.0,2.0,2.0,8.0,1.0,3.0,390.0,54.0,46.0,,,"Cherokee County, Alabama",24975.0,01,019,4.004004004004004e-05,0.00028028028028028026,0.001081081081081081,8.008008008008008e-05,0.001081081081081081,0.00028028028028028026,0.00036036036036036037,0.00028028028028028026,0.0018418418418418418,0.0002002002002002002,0.00028028028028028026,0.00012012012012012012,0.00024024024024024023,0.00012012012012012012,0.00028028028028028026,0.0003203203203203203,0.00012012012012012012,0.00024024024024024023,0.00012012012012012012,0.00012012012012012012,8.008008008008008e-05,8.008008008008008e-05,0.0003203203203203203,4.004004004004004e-05,0.00012012012012012012,0.015615615615615615,0.002162162162162162,0.0018418418418418418,,,75.0,618.0
